Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0001657,ureteric bud development,19_GO:0032502 developmental process,-4,35,9.9,30198,82,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.2,CNet-SVM
GO Biological Processes,19,GO:0072164,mesonephric tubule development,19_GO:0032502 developmental process,-4,34,9.8,30198,83,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.2,CNet-SVM
GO Biological Processes,19,GO:0072163,mesonephric epithelium development,19_GO:0032502 developmental process,-4,34,9.8,30198,83,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.2,CNet-SVM
GO Biological Processes,19,GO:0051960,regulation of nervous system development,19_GO:0032502 developmental process,-4,11,6.7,30198,443,32,5,16,6.4,1959|5021|26508|28514|147381,EGR2|OXTR|HEYL|DLL1|CBLN2,-2.2,CNet-SVM
GO Biological Processes,19,GO:0030500,regulation of bone mineralization,19_GO:0110148 biomineralization,-4,34,9.8,30198,84,32,3,9.4,5.2,1311|7480|54361,COMP|WNT10B|WNT4,-2.2,CNet-SVM
GO Biological Processes,19,GO:0071774,response to fibroblast growth factor,19_GO:0050896 response to stimulus,-4,34,9.8,30198,84,32,3,9.4,5.2,2002|2246|2253,ELK1|FGF1|FGF8,-2.2,CNet-SVM
GO Biological Processes,19,GO:0060993,kidney morphogenesis,19_GO:0032502 developmental process,-4,34,9.8,30198,84,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.2,CNet-SVM
GO Biological Processes,19,GO:2000243,positive regulation of reproductive process,19_GO:0022414 reproductive process,-4,33,9.7,30198,85,32,3,9.4,5.2,3624|5021|54361,INHBA|OXTR|WNT4,-2.2,CNet-SVM
KEGG Pathway,24,hsa04012,ErbB signaling pathway,,-4,33,9.7,30198,85,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-2.2,CNet-SVM
GO Biological Processes,19,GO:0002009,morphogenesis of an epithelium,19_GO:0032502 developmental process,-4,11,6.6,30198,447,32,5,16,6.4,2246|2253|3845|28514|54361,FGF1|FGF8|KRAS|DLL1|WNT4,-2.2,CNet-SVM
KEGG Pathway,24,hsa04014,Ras signaling pathway,,-4,16,7.6,30198,232,32,4,12,5.8,2002|2246|2253|3845,ELK1|FGF1|FGF8|KRAS,-2.2,CNet-SVM
GO Biological Processes,19,GO:0001823,mesonephros development,19_GO:0032502 developmental process,-4,33,9.6,30198,87,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-2.2,CNet-SVM
Reactome Gene Sets,6,R-HSA-190236,Signaling by FGFR,,-4,33,9.6,30198,87,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-2.2,CNet-SVM
Reactome Gene Sets,6,R-HSA-157118,Signaling by NOTCH,,-4,16,7.5,30198,236,32,4,12,5.8,3725|8788|26508|28514,JUN|DLK1|HEYL|DLL1,-2.2,CNet-SVM
KEGG Pathway,24,hsa04020,Calcium signaling pathway,,-3.9,16,7.5,30198,240,32,4,12,5.8,2246|2253|5021|5137,FGF1|FGF8|OXTR|PDE1C,-2.1,CNet-SVM
WikiPathways,27,WP673,ErbB signaling pathway,,-3.9,31,9.4,30198,91,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-2.1,CNet-SVM
WikiPathways,27,WP4336,ncRNAs involved in Wnt signaling in hepatocellular carcinoma,,-3.9,31,9.4,30198,91,32,3,9.4,5.2,3725|7480|54361,JUN|WNT10B|WNT4,-2.1,CNet-SVM
Reactome Gene Sets,6,R-HSA-500792,GPCR ligand binding,,-3.9,10,6.5,30198,467,32,5,16,6.4,2920|5021|5179|7480|54361,CXCL2|OXTR|PENK|WNT10B|WNT4,-2.1,CNet-SVM
KEGG Pathway,24,hsa04912,GnRH signaling pathway,,-3.9,30,9.3,30198,93,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-2.1,CNet-SVM
GO Biological Processes,19,GO:0003007,heart morphogenesis,19_GO:0032502 developmental process,-3.9,15,7.3,30198,250,32,4,12,5.8,2253|3725|26508|28514,FGF8|JUN|HEYL|DLL1,-2.1,CNet-SVM
GO Biological Processes,19,GO:0060840,artery development,19_GO:0032502 developmental process,-3.8,29,9.1,30198,97,32,3,9.4,5.2,1311|1959|2253,COMP|EGR2|FGF8,-2.1,CNet-SVM
GO Biological Processes,19,GO:0008593,regulation of Notch signaling pathway,19_GO:0023052 signaling,-3.8,29,9.1,30198,97,32,3,9.4,5.2,8788|28514|65989,DLK1|DLL1|DLK2,-2.1,CNet-SVM
KEGG Pathway,24,hsa01522,Endocrine resistance,,-3.8,29,9,30198,98,32,3,9.4,5.2,3725|3845|28514,JUN|KRAS|DLL1,-2.1,CNet-SVM
GO Biological Processes,19,GO:0008285,negative regulation of cell population proliferation,19_GO:0048519 negative regulation of biological process,-3.8,7.2,5.7,30198,786,32,6,19,6.9,1264|3624|3725|7480|10664|28514,CNN1|INHBA|JUN|WNT10B|CTCF|DLL1,-2.1,CNet-SVM
GO Biological Processes,19,GO:0043588,skin development,19_GO:0032502 developmental process,-3.8,15,7.1,30198,259,32,4,12,5.8,1311|3624|28514|168002,COMP|INHBA|DLL1|DACT2,-2.1,CNet-SVM
GO Biological Processes,19,GO:0008283,cell population proliferation,19_GO:0009987 cellular process,-3.8,9.6,6.3,30198,492,32,5,16,6.4,1311|2253|5179|7480|54361,COMP|FGF8|PENK|WNT10B|WNT4,-2.1,CNet-SVM
GO Biological Processes,19,GO:0042692,muscle cell differentiation,19_GO:0032502 developmental process,-3.8,14,7.1,30198,261,32,4,12,5.8,1311|3845|7480|54361,COMP|KRAS|WNT10B|WNT4,-2,CNet-SVM
KEGG Pathway,24,hsa04916,Melanogenesis,,-3.8,28,8.9,30198,101,32,3,9.4,5.2,3845|7480|54361,KRAS|WNT10B|WNT4,-2,CNet-SVM
GO Biological Processes,19,GO:0007611,learning or memory,19_GO:0032501 multicellular organismal process,-3.8,14,7.1,30198,265,32,4,12,5.8,1959|3845|5021|25769,EGR2|KRAS|OXTR|SLC24A2,-2,CNet-SVM
GO Biological Processes,19,GO:0071396,cellular response to lipid,19_GO:0050896 response to stimulus,-3.8,9.4,6.2,30198,503,32,5,16,6.4,2002|2920|3624|5179|7480,ELK1|CXCL2|INHBA|PENK|WNT10B,-2,CNet-SVM
KEGG Pathway,24,hsa04625,C-type lectin receptor signaling pathway,,-3.7,27,8.7,30198,104,32,3,9.4,5.2,1959|3725|3845,EGR2|JUN|KRAS,-2,CNet-SVM
WikiPathways,27,WP4258,lncRNA in canonical Wnt signaling and colorectal cancer,,-3.7,27,8.7,30198,104,32,3,9.4,5.2,3725|7480|54361,JUN|WNT10B|WNT4,-2,CNet-SVM
GO Biological Processes,19,GO:0070167,regulation of biomineral tissue development,19_GO:0110148 biomineralization,-3.7,27,8.7,30198,104,32,3,9.4,5.2,1311|7480|54361,COMP|WNT10B|WNT4,-2,CNet-SVM
Canonical Pathways,11,M164,PID ERBB1 DOWNSTREAM PATHWAY,,-3.7,27,8.7,30198,105,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-2,CNet-SVM
GO Biological Processes,19,GO:1901890,positive regulation of cell junction assembly,19_GO:0048518 positive regulation of biological process,-3.7,27,8.7,30198,105,32,3,9.4,5.2,5021|54361|147381,OXTR|WNT4|CBLN2,-2,CNet-SVM
GO Biological Processes,19,GO:0110149,regulation of biomineralization,19_GO:0110148 biomineralization,-3.7,27,8.6,30198,106,32,3,9.4,5.2,1311|7480|54361,COMP|WNT10B|WNT4,-2,CNet-SVM
Reactome Gene Sets,6,R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,,-3.7,9.1,6,30198,521,32,5,16,6.4,1959|2002|2246|2253|3845,EGR2|ELK1|FGF1|FGF8|KRAS,-2,CNet-SVM
WikiPathways,27,WP4659,Gastrin signaling pathway,,-3.6,25,8.3,30198,114,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-1.9,CNet-SVM
GO Biological Processes,19,GO:0007507,heart development,19_GO:0032502 developmental process,-3.6,8.7,5.9,30198,541,32,5,16,6.4,2253|3725|5021|26508|28514,FGF8|JUN|OXTR|HEYL|DLL1,-1.9,CNet-SVM
Reactome Gene Sets,6,R-HSA-187037,Signaling by NTRK1 (TRKA),,-3.6,25,8.3,30198,115,32,3,9.4,5.2,1959|2002|3845,EGR2|ELK1|KRAS,-1.9,CNet-SVM
WikiPathways,27,WP428,Wnt signaling,,-3.6,24,8.2,30198,118,32,3,9.4,5.2,3725|7480|54361,JUN|WNT10B|WNT4,-1.9,CNet-SVM
GO Biological Processes,19,GO:0007423,sensory organ development,19_GO:0032502 developmental process,-3.6,8.5,5.8,30198,555,32,5,16,6.4,2253|3624|3725|7480|28514,FGF8|INHBA|JUN|WNT10B|DLL1,-1.9,CNet-SVM
Reactome Gene Sets,6,R-HSA-5617472,Activation of anterior HOX genes in hindbrain development during early embryogenesis,,-3.5,23,8,30198,121,32,3,9.4,5.2,1959|3725|10664,EGR2|JUN|CTCF,-1.9,CNet-SVM
Reactome Gene Sets,6,R-HSA-5619507,Activation of HOX genes during differentiation,,-3.5,23,8,30198,121,32,3,9.4,5.2,1959|3725|10664,EGR2|JUN|CTCF,-1.9,CNet-SVM
GO Biological Processes,19,GO:0050890,cognition,19_GO:0032501 multicellular organismal process,-3.5,12,6.5,30198,307,32,4,12,5.8,1959|3845|5021|25769,EGR2|KRAS|OXTR|SLC24A2,-1.8,CNet-SVM
WikiPathways,27,WP3932,Focal adhesion: PI3K-Akt-mTOR-signaling pathway,,-3.5,12,6.5,30198,309,32,4,12,5.8,1311|2246|2253|3845,COMP|FGF1|FGF8|KRAS,-1.8,CNet-SVM
Reactome Gene Sets,6,R-HSA-9006925,Intracellular signaling by second messengers,,-3.5,12,6.5,30198,309,32,4,12,5.8,2246|2253|3725|5137,FGF1|FGF8|JUN|PDE1C,-1.8,CNet-SVM
GO Biological Processes,19,GO:0007610,behavior,19_GO:0032501 multicellular organismal process,-3.5,8.2,5.7,30198,572,32,5,16,6.4,1959|3845|5021|5179|25769,EGR2|KRAS|OXTR|PENK|SLC24A2,-1.8,CNet-SVM
GO Biological Processes,19,GO:2000027,regulation of animal organ morphogenesis,19_GO:0032502 developmental process,-3.5,22,7.9,30198,126,32,3,9.4,5.2,2246|2253|54361,FGF1|FGF8|WNT4,-1.8,CNet-SVM
GO Biological Processes,19,GO:0048598,embryonic morphogenesis,19_GO:0032502 developmental process,-3.5,8.2,5.7,30198,576,32,5,16,6.4,2253|3624|5307|28514|54361,FGF8|INHBA|PITX1|DLL1|WNT4,-1.8,CNet-SVM
GO Biological Processes,19,GO:0030855,epithelial cell differentiation,19_GO:0032502 developmental process,-3.5,8.2,5.7,30198,576,32,5,16,6.4,2253|3725|28514|54361|168002,FGF8|JUN|DLL1|WNT4|DACT2,-1.8,CNet-SVM
GO Biological Processes,19,GO:1901214,regulation of neuron death,19_GO:0050789 regulation of biological process,-3.5,12,6.4,30198,314,32,4,12,5.8,2002|2253|3725|3845,ELK1|FGF8|JUN|KRAS,-1.8,CNet-SVM
Canonical Pathways,11,M186,PID PDGFRB PATHWAY,,-3.5,22,7.8,30198,129,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-1.8,CNet-SVM
GO Biological Processes,19,GO:0001525,angiogenesis,19_GO:0032502 developmental process,-3.4,12,6.3,30198,323,32,4,12,5.8,2246|2253|3725|28514,FGF1|FGF8|JUN|DLL1,-1.8,CNet-SVM
Reactome Gene Sets,6,R-HSA-5683057,MAPK family signaling cascades,,-3.4,12,6.3,30198,325,32,4,12,5.8,2246|2253|3725|3845,FGF1|FGF8|JUN|KRAS,-1.8,CNet-SVM
Reactome Gene Sets,6,R-HSA-166520,Signaling by NTRKs,,-3.4,21,7.6,30198,134,32,3,9.4,5.2,1959|2002|3845,EGR2|ELK1|KRAS,-1.8,CNet-SVM
GO Biological Processes,19,GO:0007167,enzyme-linked receptor protein signaling pathway,19_GO:0023052 signaling,-3.4,7.8,5.5,30198,606,32,5,16,6.4,1311|2246|2253|3624|3725,COMP|FGF1|FGF8|INHBA|JUN,-1.7,CNet-SVM
GO Biological Processes,19,GO:0003002,regionalization,19_GO:0032502 developmental process,-3.4,11,6.2,30198,335,32,4,12,5.8,1959|2253|26508|28514,EGR2|FGF8|HEYL|DLL1,-1.7,CNet-SVM
WikiPathways,27,WP4172,PI3K-Akt signaling pathway,,-3.3,11,6,30198,345,32,4,12,5.8,1311|2246|2253|3845,COMP|FGF1|FGF8|KRAS,-1.7,CNet-SVM
WikiPathways,27,WP2380,Brain-derived neurotrophic factor (BDNF) signaling pathway,,-3.3,20,7.3,30198,144,32,3,9.4,5.2,1959|2002|3725,EGR2|ELK1|JUN,-1.7,CNet-SVM
GO Biological Processes,19,GO:0043524,negative regulation of neuron apoptotic process,19_GO:0048519 negative regulation of biological process,-3.3,20,7.3,30198,145,32,3,9.4,5.2,2253|3725|3845,FGF8|JUN|KRAS,-1.7,CNet-SVM
Reactome Gene Sets,6,R-HSA-388396,GPCR downstream signalling,,-3.3,7.5,5.3,30198,633,32,5,16,6.4,2920|3845|5021|5137|5179,CXCL2|KRAS|OXTR|PDE1C|PENK,-1.7,CNet-SVM
KEGG Pathway,24,hsa04151,PI3K-Akt signaling pathway,,-3.3,11,6,30198,354,32,4,12,5.8,1311|2246|2253|3845,COMP|FGF1|FGF8|KRAS,-1.7,CNet-SVM
WikiPathways,27,WP51,Regulation of actin cytoskeleton,,-3.3,19,7.1,30198,150,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-1.6,CNet-SVM
GO Biological Processes,19,GO:0071560,cellular response to transforming growth factor beta stimulus,19_GO:0050896 response to stimulus,-3.3,19,7.1,30198,151,32,3,9.4,5.2,3725|5179|54361,JUN|PENK|WNT4,-1.6,CNet-SVM
GO Biological Processes,19,GO:0048871,multicellular organismal homeostasis,19_GO:0032501 multicellular organismal process,-3.2,10,5.9,30198,363,32,4,12,5.8,1311|1472|3845|28514,COMP|CST4|KRAS|DLL1,-1.6,CNet-SVM
WikiPathways,27,WP2857,Mesodermal commitment pathway,,-3.2,18,7,30198,156,32,3,9.4,5.2,2253|3624|28514,FGF8|INHBA|DLL1,-1.6,CNet-SVM
KEGG Pathway,24,hsa04150,mTOR signaling pathway,,-3.2,18,7,30198,156,32,3,9.4,5.2,3845|7480|54361,KRAS|WNT10B|WNT4,-1.6,CNet-SVM
KEGG Pathway,24,hsa04390,Hippo signaling pathway,,-3.2,18,7,30198,157,32,3,9.4,5.2,2246|7480|54361,FGF1|WNT10B|WNT4,-1.6,CNet-SVM
GO Biological Processes,19,GO:0051216,cartilage development,19_GO:0032502 developmental process,-3.2,18,7,30198,157,32,3,9.4,5.2,1311|5307|7480,COMP|PITX1|WNT10B,-1.6,CNet-SVM
WikiPathways,27,WP289,Myometrial relaxation and contraction pathways,,-3.2,18,6.9,30198,158,32,3,9.4,5.2,1264|3725|5021,CNN1|JUN|OXTR,-1.6,CNet-SVM
GO Biological Processes,19,GO:0071559,response to transforming growth factor beta,19_GO:0050896 response to stimulus,-3.2,18,6.9,30198,158,32,3,9.4,5.2,3725|5179|54361,JUN|PENK|WNT4,-1.6,CNet-SVM
GO Biological Processes,19,GO:0040007,growth,19_GO:0040007 growth,-3.2,10,5.8,30198,373,32,4,12,5.8,1311|2246|7480|28514,COMP|FGF1|WNT10B|DLL1,-1.6,CNet-SVM
GO Biological Processes,19,GO:0048589,developmental growth,19_GO:0040007 growth,-3.2,10,5.8,30198,373,32,4,12,5.8,1311|2246|7480|28514,COMP|FGF1|WNT10B|DLL1,-1.6,CNet-SVM
GO Biological Processes,19,GO:0046661,male sex differentiation,19_GO:0022414 reproductive process,-3.2,18,6.9,30198,160,32,3,9.4,5.2,2253|3624|54361,FGF8|INHBA|WNT4,-1.6,CNet-SVM
WikiPathways,27,WP437,EGF/EGFR signaling pathway,,-3.2,17,6.8,30198,163,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-1.6,CNet-SVM
GO Biological Processes,19,GO:0010001,glial cell differentiation,19_GO:0032502 developmental process,-3.1,17,6.7,30198,167,32,3,9.4,5.2,1959|3845|28514,EGR2|KRAS|DLL1,-1.5,CNet-SVM
KEGG Pathway,24,hsa04310,Wnt signaling pathway,,-3.1,17,6.7,30198,167,32,3,9.4,5.2,3725|7480|54361,JUN|WNT10B|WNT4,-1.5,CNet-SVM
GO Biological Processes,19,GO:0048762,mesenchymal cell differentiation,19_GO:0032502 developmental process,-3.1,17,6.7,30198,168,32,3,9.4,5.2,2253|26508|54361,FGF8|HEYL|WNT4,-1.5,CNet-SVM
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0032502 developmental process,-3.1,6.8,5,30198,699,32,5,16,6.4,3624|3845|7480|28514|54361,INHBA|KRAS|WNT10B|DLL1|WNT4,-1.5,CNet-SVM
GO Biological Processes,19,GO:0048736,appendage development,19_GO:0032502 developmental process,-3.1,16,6.5,30198,177,32,3,9.4,5.2,1311|2253|5307,COMP|FGF8|PITX1,-1.5,CNet-SVM
GO Biological Processes,19,GO:0060173,limb development,19_GO:0032502 developmental process,-3.1,16,6.5,30198,177,32,3,9.4,5.2,1311|2253|5307,COMP|FGF8|PITX1,-1.5,CNet-SVM
GO Biological Processes,19,GO:0000165,MAPK cascade,19_GO:0023052 signaling,-3,16,6.5,30198,180,32,3,9.4,5.2,2253|3845|5021,FGF8|KRAS|OXTR,-1.5,CNet-SVM
GO Biological Processes,19,GO:0010564,regulation of cell cycle process,19_GO:0050789 regulation of biological process,-3,6.4,4.8,30198,734,32,5,16,6.4,2253|3624|7480|10664|54361,FGF8|INHBA|WNT10B|CTCF|WNT4,-1.4,CNet-SVM
GO Biological Processes,19,GO:0051302,regulation of cell division,19_GO:0050789 regulation of biological process,-3,15,6.3,30198,189,32,3,9.4,5.2,2246|2253|28514,FGF1|FGF8|DLL1,-1.4,CNet-SVM
GO Biological Processes,19,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,19_GO:0023052 signaling,-3,15,6.3,30198,189,32,3,9.4,5.2,1311|3624|3725,COMP|INHBA|JUN,-1.4,CNet-SVM
GO Biological Processes,19,GO:2000241,regulation of reproductive process,19_GO:0022414 reproductive process,-3,15,6.2,30198,191,32,3,9.4,5.2,3624|5021|54361,INHBA|OXTR|WNT4,-1.4,CNet-SVM
GO Biological Processes,19,GO:0050804,modulation of chemical synaptic transmission,19_GO:0023052 signaling,-3,8.7,5.3,30198,435,32,4,12,5.8,1959|3845|5021|25769,EGR2|KRAS|OXTR|SLC24A2,-1.4,CNet-SVM
GO Biological Processes,19,GO:0009314,response to radiation,19_GO:0050896 response to stimulus,-3,8.7,5.3,30198,435,32,4,12,5.8,2002|3845|5179|25769,ELK1|KRAS|PENK|SLC24A2,-1.4,CNet-SVM
GO Biological Processes,19,GO:0099177,regulation of trans-synaptic signaling,19_GO:0023052 signaling,-3,8.7,5.2,30198,436,32,4,12,5.8,1959|3845|5021|25769,EGR2|KRAS|OXTR|SLC24A2,-1.4,CNet-SVM
KEGG Pathway,24,hsa05167,Kaposi sarcoma-associated herpesvirus infection,,-2.9,15,6.2,30198,194,32,3,9.4,5.2,2920|3725|3845,CXCL2|JUN|KRAS,-1.4,CNet-SVM
GO Biological Processes,19,GO:0007389,pattern specification process,19_GO:0032502 developmental process,-2.9,8.4,5.2,30198,447,32,4,12,5.8,1959|2253|26508|28514,EGR2|FGF8|HEYL|DLL1,-1.4,CNet-SVM
KEGG Pathway,24,hsa04510,Focal adhesion,,-2.9,14,6.1,30198,201,32,3,9.4,5.2,1311|2002|3725,COMP|ELK1|JUN,-1.4,CNet-SVM
Reactome Gene Sets,6,R-HSA-375276,Peptide ligand-binding receptors,,-2.9,14,6.1,30198,201,32,3,9.4,5.2,2920|5021|5179,CXCL2|OXTR|PENK,-1.4,CNet-SVM
WikiPathways,27,WP306,Focal adhesion,,-2.9,14,6,30198,202,32,3,9.4,5.2,1311|2002|3725,COMP|ELK1|JUN,-1.3,CNet-SVM
GO Biological Processes,19,GO:1901888,regulation of cell junction assembly,19_GO:0050789 regulation of biological process,-2.9,14,6,30198,202,32,3,9.4,5.2,5021|54361|147381,OXTR|WNT4|CBLN2,-1.3,CNet-SVM
KEGG Pathway,24,hsa05203,Viral carcinogenesis,,-2.9,14,6,30198,204,32,3,9.4,5.2,1959|3725|3845,EGR2|JUN|KRAS,-1.3,CNet-SVM
GO Biological Processes,19,GO:0048167,regulation of synaptic plasticity,19_GO:0023052 signaling,-2.9,14,6,30198,204,32,3,9.4,5.2,1959|3845|25769,EGR2|KRAS|SLC24A2,-1.3,CNet-SVM
GO Biological Processes,19,GO:0043523,regulation of neuron apoptotic process,19_GO:0050789 regulation of biological process,-2.9,14,6,30198,207,32,3,9.4,5.2,2253|3725|3845,FGF8|JUN|KRAS,-1.3,CNet-SVM
GO Biological Processes,19,GO:1901215,negative regulation of neuron death,19_GO:0048519 negative regulation of biological process,-2.9,14,5.9,30198,209,32,3,9.4,5.2,2253|3725|3845,FGF8|JUN|KRAS,-1.3,CNet-SVM
GO Biological Processes,19,GO:0009952,anterior/posterior pattern specification,19_GO:0032502 developmental process,-2.8,13,5.9,30198,210,32,3,9.4,5.2,2253|26508|28514,FGF8|HEYL|DLL1,-1.3,CNet-SVM
KEGG Pathway,24,hsa04015,Rap1 signaling pathway,,-2.8,13,5.9,30198,210,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-1.3,CNet-SVM
GO Biological Processes,19,GO:0061448,connective tissue development,19_GO:0032502 developmental process,-2.8,13,5.9,30198,211,32,3,9.4,5.2,1311|5307|7480,COMP|PITX1|WNT10B,-1.3,CNet-SVM
KEGG Pathway,24,hsa05417,Lipid and atherosclerosis,,-2.8,13,5.8,30198,215,32,3,9.4,5.2,2920|3725|3845,CXCL2|JUN|KRAS,-1.3,CNet-SVM
KEGG Pathway,24,hsa04810,Regulation of actin cytoskeleton,,-2.8,13,5.8,30198,218,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-1.3,CNet-SVM
GO Biological Processes,19,GO:0008406,gonad development,19_GO:0022414 reproductive process,-2.8,13,5.8,30198,220,32,3,9.4,5.2,2253|3624|54361,FGF8|INHBA|WNT4,-1.3,CNet-SVM
GO Biological Processes,19,GO:0070374,positive regulation of ERK1 and ERK2 cascade,19_GO:0023052 signaling,-2.8,13,5.7,30198,221,32,3,9.4,5.2,2246|2253|3725,FGF1|FGF8|JUN,-1.3,CNet-SVM
Reactome Gene Sets,6,R-HSA-8939211,ESR-mediated signaling,,-2.8,13,5.7,30198,223,32,3,9.4,5.2,2002|3725|3845,ELK1|JUN|KRAS,-1.3,CNet-SVM
GO Biological Processes,19,GO:0046903,secretion,19_GO:0051179 localization,-2.8,7.7,4.9,30198,490,32,4,12,5.8,1311|3624|5021|6927,COMP|INHBA|OXTR|HNF1A,-1.2,CNet-SVM
GO Biological Processes,19,GO:0048705,skeletal system morphogenesis,19_GO:0032502 developmental process,-2.8,13,5.7,30198,225,32,3,9.4,5.2,1311|2253|7480,COMP|FGF8|WNT10B,-1.2,CNet-SVM
GO Biological Processes,19,GO:0045137,development of primary sexual characteristics,19_GO:0022414 reproductive process,-2.8,13,5.7,30198,225,32,3,9.4,5.2,2253|3624|54361,FGF8|INHBA|WNT4,-1.2,CNet-SVM
GO Biological Processes,19,GO:0044089,positive regulation of cellular component biogenesis,19_GO:0048518 positive regulation of biological process,-2.8,7.7,4.9,30198,492,32,4,12,5.8,5021|7480|54361|147381,OXTR|WNT10B|WNT4|CBLN2,-1.2,CNet-SVM
GO Biological Processes,19,GO:0010817,regulation of hormone levels,19_GO:0065007 biological regulation,-2.7,7.6,4.8,30198,498,32,4,12,5.8,3624|6927|8630|54361,INHBA|HNF1A|HSD17B6|WNT4,-1.2,CNet-SVM
GO Biological Processes,19,GO:0060485,mesenchyme development,19_GO:0032502 developmental process,-2.7,12,5.6,30198,231,32,3,9.4,5.2,2253|26508|54361,FGF8|HEYL|WNT4,-1.2,CNet-SVM
GO Biological Processes,19,GO:0071407,cellular response to organic cyclic compound,19_GO:0050896 response to stimulus,-2.7,7.5,4.8,30198,505,32,4,12,5.8,2002|3624|5179|7480,ELK1|INHBA|PENK|WNT10B,-1.2,CNet-SVM
GO Biological Processes,19,GO:0001501,skeletal system development,19_GO:0032502 developmental process,-2.7,7.5,4.8,30198,505,32,4,12,5.8,1311|2253|5307|7480,COMP|FGF8|PITX1|WNT10B,-1.2,CNet-SVM
GO Biological Processes,19,GO:0001894,tissue homeostasis,19_GO:0032501 multicellular organismal process,-2.7,12,5.5,30198,235,32,3,9.4,5.2,1311|1472|3845,COMP|CST4|KRAS,-1.2,CNet-SVM
GO Biological Processes,19,GO:0021537,telencephalon development,19_GO:0032502 developmental process,-2.7,12,5.4,30198,246,32,3,9.4,5.2,2253|3624|5021,FGF8|INHBA|OXTR,-1.2,CNet-SVM
GO Biological Processes,19,GO:0090068,positive regulation of cell cycle process,19_GO:0048518 positive regulation of biological process,-2.6,11,5.2,30198,259,32,3,9.4,5.2,2253|7480|54361,FGF8|WNT10B|WNT4,-1.1,CNet-SVM
GO Biological Processes,19,GO:0016055,Wnt signaling pathway,19_GO:0023052 signaling,-2.6,11,5.2,30198,262,32,3,9.4,5.2,7480|10009|54361,WNT10B|ZBTB33|WNT4,-1.1,CNet-SVM
GO Biological Processes,19,GO:0198738,cell-cell signaling by wnt,19_GO:0023052 signaling,-2.6,11,5.2,30198,262,32,3,9.4,5.2,7480|10009|54361,WNT10B|ZBTB33|WNT4,-1.1,CNet-SVM
Reactome Gene Sets,6,R-HSA-1257604,PIP3 activates AKT signaling,,-2.6,11,5.1,30198,267,32,3,9.4,5.2,2246|2253|3725,FGF1|FGF8|JUN,-1.1,CNet-SVM
WikiPathways,27,WP5124,Alzheimer's disease,,-2.6,11,5.1,30198,267,32,3,9.4,5.2,3845|7480|54361,KRAS|WNT10B|WNT4,-1.1,CNet-SVM
GO Biological Processes,19,GO:0051962,positive regulation of nervous system development,19_GO:0032502 developmental process,-2.5,10,5.1,30198,270,32,3,9.4,5.2,1959|5021|147381,EGR2|OXTR|CBLN2,-1.1,CNet-SVM
GO Biological Processes,19,GO:0007548,sex differentiation,19_GO:0022414 reproductive process,-2.5,10,5,30198,276,32,3,9.4,5.2,2253|3624|54361,FGF8|INHBA|WNT4,-1,CNet-SVM
GO Biological Processes,19,GO:0060249,anatomical structure homeostasis,19_GO:0065007 biological regulation,-2.5,10,5,30198,279,32,3,9.4,5.2,1311|1472|3845,COMP|CST4|KRAS,-1,CNet-SVM
Reactome Gene Sets,6,R-HSA-5673001,RAF/MAP kinase cascade,,-2.5,10,5,30198,280,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-1,CNet-SVM
GO Biological Processes,19,GO:0044057,regulation of system process,19_GO:0032501 multicellular organismal process,-2.5,6.5,4.3,30198,583,32,4,12,5.8,1264|1959|3624|5021,CNN1|EGR2|INHBA|OXTR,-1,CNet-SVM
Reactome Gene Sets,6,R-HSA-5684996,MAPK1/MAPK3 signaling,,-2.5,9.9,4.9,30198,286,32,3,9.4,5.2,2246|2253|3845,FGF1|FGF8|KRAS,-1,CNet-SVM
